Post Date,Recruitment Board,Exam / Post Name,Qualification,Advt No,Last Date,More Information
03/09/2025,SSA Meghalaya,Academic Resource Person     – 02 Posts,M.Sc,–,10-09-2025,Get Details
30/08/2025,NEIGRIHMS,Project Technical Support III     – 1 Posts,"B.Sc, M.Sc",–,23-09-2025,Get Details
16/08/2025,Assam Rifles,Rifleman/ Riflewomen     – 69 Posts,10TH,–,15-09-2025,Get Details
10/09/2025,Mizoram PSC,Sub Inspector     – 25 Posts,Any Graduate,–,08-10-2025,Get Details
09/09/2025,Mizoram University,Guest Lecturer     – 01 Posts,M.Phil/Ph.D,–,11-09-2025,Get Details
29/08/2025,Mizoram PSC,Assistant Controller     – 01 Posts,"B.Sc, B.Tech/B.E",–,26-09-2025,Get Details
25/08/2025,Mizoram PSC,Junior Engineer     – 2 Posts,Diploma,25 of 2025 - 2026,18-09-2025,Get Details
22/08/2025,Mizoram PSC,Junior Engineer     – 02 Posts,Diploma,26 of 2025 - 2026,19-09-2025,Get Details
02/09/2025,Gauhati High Court,Multi Tasking Staff     – 02 Posts,"12TH, 8TH",–,23-09-2025,Get Details
10/09/2025,Haldi Higher Secondary School,Guest Faculty,Other,03,15-09-2025,Get Details
10/09/2025,OAV,"PGT, TGT and More",B.Ed,–,12-09-2025,Get Details
09/09/2025,Junabhadra College Bitana,Guest Faculty,Other,–,17-09-2025,Get Details
08/09/2025,ITR DRDO,Graduate Technician Apprentice     – 54 Posts,"B.B.A, B.Com, B.Tech/B.E, Diploma",ITR/HRD/AT/10/2025,20-10-2025,Get Details
05/09/2025,Odisha Balasore District Forest Division,Subject Matter Specialist     – 01 Posts,"Any Graduate, BVSC, Any Post Graduate",–,20-09-2025,Get Details
05/09/2025,CUO,Guest Faculty     – 10 Posts,"Any Bachelors Degree, B.Tech/B.E, Any Masters Degree, M.E/M.Tech, M.Phil/Ph.D",–,12-09-2025,Get Details
04/09/2025,High Court of Orissa,Junior Stenographer     – 25 Posts,Any Bachelors Degree,05/2025,09-10-2025,Get Details
04/09/2025,WCD Odisha,Anganwadi Helper     – 07 Posts,12TH,–,21-09-2025,Get Details
03/09/2025,WCD Odisha,Anganwadi Helper     – 09 Posts,12TH,–,17-09-2025,Get Details
03/09/2025,Balasore District,Legal Retainer,Other,–,11-09-2025,Get Details
02/09/2025,OAV Tileibani,Warden     – 01 Posts,"B.A, B.Sc",–,15-09-2025,Get Details
02/09/2025,WCD Odisha,Anganwadi Worker     – 02 Posts,12TH,–,16-09-2025,Get Details
02/09/2025,OAV,"Warden, Head Cook and More     – 05 Posts","B.A, B.Sc, 12TH",–,20-09-2025,Get Details
01/09/2025,PM Shri Bapuji Govt HSS Nabarangpur,Guest Faculty,"B.Ed, Any Masters Degree",01/2025,15-09-2025,Get Details
01/09/2025,GHSS Kangra,Guest faculties,"B.Ed, Any Masters Degree, PGDCA",01/2025,15-09-2025,Get Details
01/09/2025,OAV,"Warden, Head Cook and More     – 05 Posts","B.A, B.Sc",04/2025,15-09-2025,Get Details
30/08/2025,OAV,"Warden, Head Cook and More     – 05 Posts","B.A, B.Sc, 12TH",–,10-09-2025,Get Details
29/08/2025,NHM Balasore,"Psychiatric Nurse, Yoga Instructor and More     – 06 Posts","B.Com, B.Sc, Diploma, BSW, M.A, PG Diploma",13561,16-09-2025,Get Details
28/08/2025,GHSS Sindhigam,Guest Faculty,"B.Ed, Any Masters Degree",1/25,15-09-2025,Get Details
28/08/2025,GHSS Kosagumuda,Guest Faculty,Other,02,15-09-2025,Get Details
28/08/2025,NGHSS Bodak,Guest Faculty,Other,001,10-09-2025,Get Details
28/08/2025,OAV,Guest Teachers,"B.Tech/B.E, M.Sc, MCA, PGDCA",02/2025,11-09-2025,Get Details
26/08/2025,CDMO Khordha,"Counselor, Urban Data Manager and More     – 06 Posts",Other,–,17-09-2025,Get Details
26/08/2025,OAV,"Warden, Head Cook and More     – 10 Posts","B.A, B.Sc",–,10-09-2025,Get Details
26/08/2025,Boudh District,Supply Assistant     – 01 Posts,Other,–,12-09-2025,Get Details
23/08/2025,Sainik School Sambalpur,"PGT, LDC, TGT     – 7 Posts","B.Ed, M.Ed, M.Sc, M.E/M.Tech, MCA",–,12-09-2025,Get Details
21/08/2025,IIM Sambalpur,Non Teaching     – 05 Posts,"Any Graduate, Any Post Graduate",ADVT/IIMSBP/2025/Aug/15,10-09-2025,Get Details
29/07/2025,OSAP,Gurkha Sepoy     – 135 Posts,"12TH, 7th",–,10-09-2025,Get Details
09/09/2025,JIPMER,Junior Resident     – 02 Posts,BDS,–,29-09-2025,Get Details
14/08/2025,Puducherry Police,Sub-Inspector of Police     – 70 Posts,Any Graduate,–,12-09-2025,Get Details
14/08/2025,Puducherry Police,Police Constable     – 148 Posts,12TH,–,12-09-2025,Get Details
14/08/2025,JIPMER,Project Nurse II     – 03 Posts,"B.Sc, GNM",IIRPSG-2024-01-03350-6,26-09-2025,Get Details
13/08/2025,JIPMER,Faculty     – 98 Posts,"MBBS, Any Masters Degree, M.A, M.Sc, M.Phil/Ph.D, Master of Dental Surgery, MS/MD, MPH, M.Ch, DM",–,18-09-2025,Get Details
10/09/2025,Prasar Bharati,News Reader cum Translator,Any Graduate,–,25-10-2025,Get Details
10/09/2025,AIIMS Bathinda,Faculty     – 80 Posts,"MS/MD, M.Ch, DM",AIIMS/BTI/RC/Faculty/2042,24-09-2025,Get Details
10/09/2025,PPSC,Agriculture Development Officer     – 07 Posts,B.Sc,20252,30-09-2025,Get Details
09/09/2025,Barnala District Court,"Clerk, Stenographer Grade III     – 32 Posts","B.Com, B.Sc",–,25-09-2025,Get Details
08/09/2025,AIIMS Bathinda,Project Assistant     – 01 Posts,"B.Sc, Diploma",–,12-09-2025,Get Details
03/09/2025,Ayushman Arogya Kendras Sangrur,Yoga Instructor,Diploma,–,12-09-2025,Get Details
02/09/2025,PSPCL,Director,B.Tech/B.E,–,30-09-2025,Get Details
01/09/2025,BFUHS,Staff Nurse     – 406 Posts,GNM,BFU-25/20,12-09-2025,Get Details
01/09/2025,BFUHS,Multipurpose Health Worker (MPHW)     – 270 Posts,Diploma,–,12-09-2025,Get Details
28/08/2025,NIT Jalandhar,"Technical Assistant, Junior Assistant and More     – 58 Posts","B.Tech/B.E, MCA",01/2025 to 12/2025,27-09-2025,Get Details
25/08/2025,BFUHS,"Associate Professor, Medical Officer and More     – 08 Posts","MBBS, M.Sc, M.Phil/Ph.D",BFU-25/22,12-09-2025,Get Details
31/07/2025,Punjab Education Recruitment Board,"PRT, TGT     – 725 Posts","Any Graduate, B.Ed, Diploma, D.El.Ed",–,30-09-2025,Get Details
10/09/2025,BITS Pilani,Faculty,Any Graduate,–,05-10-2025,Get Details
09/09/2025,APS Jaipur,"PGT, Driver and Other     – 16 Posts",Other,–,24-09-2025,Get Details
06/09/2025,Rajasthan Police,Constable     – 167 Posts,12TH,–,01-10-2025,Get Details
05/09/2025,Sainik School Jhunjhunu,"PGT, TGT and More","Any Graduate, B.Ed, MBBS, Any Post Graduate",–,27-09-2025,Get Details
05/09/2025,Central Bank of India,BC Supervisor,"B.Tech/B.E, M.Sc, MBA/PGDM, MCA",–,18-09-2025,Get Details
02/09/2025,ICMR NIIRNCD,Consultant     – 01 Posts,"M.Phil/Ph.D, MS/MD",–,15-09-2025,Get Details
01/09/2025,CCI,"Field Assistant, Office Assistant","Any Graduate, B.Com, B.Sc",–,23-09-2025,Get Details
30/08/2025,AIIMS Jodhpur,Project Technical Support Staff III     – 01 Posts,"Any Graduate, M.Sc",–,15-09-2025,Get Details
30/08/2025,AIIMS Jodhpur,Faculty     – 109 Posts,"M.Phil/Ph.D, Master of Dental Surgery, MS/MD, M.Ch, DM",Admn/Faculty/ 07/2025-AIIMS.JDH,24-09-2025,Get Details
28/08/2025,RPSC,Agriculture School Lecturer     – 500 Posts,"B.Sc, M.Sc",–,03-10-2025,Get Details
20/08/2025,RPSC,Junior Legal Officer     – 12 Posts,LLB,08/ EXAM/J.L.O.-JDA /EP-1/2025-26,25-09-2025,Get Details
19/08/2025,RPSC,Senior Teacher     – 6500 Posts,"Any Graduate, B.Ed, Diploma, D.El.Ed",07/2025-26,17-09-2025,Get Details
16/08/2025,Sainik School Chittorgarh,"TGT, Lab Assistant and More     – 8 Posts","B.A, B.Ed",–,17-09-2025,Get Details
28/07/2025,CURAJ,Teaching Positions     – 18 Posts,"B.Arch, B.Tech/B.E, Any Masters Degree, M.Arch, M.E/M.Tech, MS, M.Phil/Ph.D, BS",CURAJ/R/F.167/2025/1494,30-09-2025,Get Details
18/07/2025,RPSC,School Lecturer     – 3225 Posts,"B.Ed, Any Post Graduate",06/2025-26,12-09-2025,Get Details
10/09/2025,ECHS,"Officer in Charge, Medical Officer and More     – 03 Posts","Any Graduate, MBBS, Diploma",–,18-10-2025,Get Details
10/09/2025,TNHRCE,Teacher     – 03 Posts,Any Bachelors Degree,–,30-09-2025,Get Details
10/09/2025,MRB,Assistant Medical Officer     – 27 Posts,"MS/MD, BSMS",–,29-09-2025,Get Details
10/09/2025,ESIC Tirupur,"Specialists, Senior Residents     – 23 Posts","BDS, MBBS, PG Diploma, MS/MD",–,26-09-2025,Get Details
09/09/2025,ERNET India,Research Internship     – 01 Posts,M.E/M.Tech,–,12-09-2025,Get Details
09/09/2025,DHS Namakkal,"Nursing Therapist, Lab Technician and More     – 71 Posts","B.B.A, B.Com, B.Sc, Diploma, 10TH, 8TH",–,15-09-2025,Get Details
09/09/2025,NLC,Health Inspector     – 16 Posts,"Diploma, 12TH",07/2025,06-10-2025,Get Details
08/09/2025,CUTN,Project Associate     – 05 Posts,"M.Sc, M.E/M.Tech",–,15-09-2025,Get Details
08/09/2025,BHEL Trichy,Apprentices     – 760 Posts,"B.A, B.Com, B.Tech/B.E, Diploma, ITI, 12TH",–,15-09-2025,Get Details
06/09/2025,TNUSRB,"Constable Grade II, Fireman and Jail Warder     – 3665 Posts",10TH,02 / 2025,21-09-2025,Get Details
05/09/2025,DHS Chengalpattu,"Occupational Therapist, Social Worker and More     – 11 Posts","Any Bachelors Degree, 8TH, BPT, Any Masters Degree, MSW, MOT, BOT",–,25-09-2025,Get Details
05/09/2025,DHS Thanjavur,Occupational Therapist     – 01 Posts,"MOT, BOT",–,24-09-2025,Get Details
05/09/2025,IIT Madras,Project Associate I     – 01 Posts,"B.Tech/B.E, M.Sc, M.E/M.Tech",ICSR/PR/Advt.146/2025,19-09-2025,Get Details
05/09/2025,TNAU,"Jrf, Technical Assistant and More     – 12 Posts","B.Tech/B.E, Diploma, M.Sc, M.Phil/Ph.D",–,10-09-2025,Get Details
04/09/2025,IIT Madras,Patent Agent     – 01 Posts,"B.Tech/B.E, M.E/M.Tech",ICSR/PR/Advt.137/2025,18-09-2025,Get Details
03/09/2025,TNEB,Field Assistant     – 1794 Posts,ITI,717,02-10-2025,Get Details
03/09/2025,TNPSC,Field Assistant     – 1794 Posts,ITI,717,02-10-2025,Get Details
03/09/2025,TNRD,"Office Assistant, Record Clerk and More     – 365 Posts","10TH, 8TH",–,30-09-2025,Get Details
03/09/2025,DCWSS Pudukkottai,"Child Help line Supervisor, Case Worker     – 06 Posts",12TH,–,12-09-2025,Get Details
03/09/2025,ESIC,"Specialist, Senior Resident     – 25 Posts","MBBS, PG Diploma, MS/MD",–,10-09-2025,Get Details
02/09/2025,IMSc,"Project Associate I, Library Trainees     – 03 Posts","B.Tech/B.E, M.Sc",–,14-09-2025,Get Details
02/09/2025,DHEW Viluppuram,IT Assistant,Any Bachelors Degree,–,22-09-2025,Get Details
02/09/2025,DHS Dindigul,"Consultant, Multipurpose and More     – 27 Posts","Diploma, BAMS, BUMS, BHMS",–,29-09-2025,Get Details
02/09/2025,BHEL,"GDMO, Specialist     – 03 Posts","MBBS, MS/MD",HPBP/ 02/ CMP /2025,17-09-2025,Get Details
02/09/2025,DHS Pudukkottai,"Multipurpose Worker, Dispensar and Other     – 19 Posts","BHMS, MS/MD, D.Pharm",–,12-09-2025,Get Details
01/09/2025,DHS Madurai,"Medical Consultant, Pharmacist and More     – 17 Posts","Any Graduate, 8TH, BUMS, D.Pharm, DMLT",–,10-09-2025,Get Details
01/09/2025,Rural Development and Panchayat Department Thoothukudi,Night Watchman     – 01 Posts,Other,–,30-09-2025,Get Details
01/09/2025,Panchayat Raj Department Tirunelveli,"Office Assistant, Night Watch and More     – 06 Posts",8TH,–,30-09-2025,Get Details
29/08/2025,TN MRB,Assistant Medical Officer     – 8 Posts,BAMS,13/MRB/2025,18-09-2025,Get Details
26/08/2025,ICMR NIRT,Junior Consultant     – 01 Posts,Any Masters Degree,–,15-09-2025,Get Details
23/08/2025,RVNL,Planning Manager     – 2 Posts,B.Tech/B.E,–,11-09-2025,Get Details
23/08/2025,IREL (India),"Graduate, Technician and Trade Apprentices     – 41 Posts","B.Sc, B.Tech/B.E, Diploma, ITI",IREL (India) Limited/MK/Apprentices Engagement/2025/01,20-09-2025,Get Details
23/08/2025,Cordite Factory Aruvankadu,Tenure Based CPW     – 77 Posts,ITI,–,10-09-2025,Get Details
22/08/2025,IIM Trichy,"MTS, Graduate Engineer Trainee and More     – 18 Posts","Any Graduate, B.A, B.Tech/B.E, Diploma, 12TH, Any Post Graduate, M.A, MBA/PGDM, PG Diploma, M.Phil/Ph.D",EST-II/A-02/2025/002,22-09-2025,Get Details
22/08/2025,District Health Society Cuddalore,"Attender, MPHW and More     – 9 Posts","10TH, D.Pharm",–,13-09-2025,Get Details
22/08/2025,AWEIL OFT,Tradesman     – 73 Posts,"Diploma, ITI, 10TH, 8TH",7635/LB/2025,21-09-2025,Get Details
21/08/2025,TN Stationery and Printing Department,"Junior Electrician, Junior Mechanic and More     – 56 Posts","Diploma, ITI, 10TH",–,19-09-2025,Get Details
19/08/2025,Viluppuram Revenue Department,Village Assistant     – 31 Posts,10TH,–,16-09-2025,Get Details
19/08/2025,DCWSS Thoothukudi,Social Worker Members     – 02 Posts,B.Sc,–,15-09-2025,Get Details
18/08/2025,DCWSS Coimbatore,Social Worker Members,Other,–,15-09-2025,Get Details
18/08/2025,Juvenile Justice Board Tirunelveli,Social Worker Members     – 02 Posts,"B.A, B.Sc, LLB",–,15-09-2025,Get Details
16/08/2025,CUTN,Teaching     – 19 Posts,"Any Masters Degree, M.Phil/Ph.D",CUTN/T/01/2025,17-09-2025,Get Details
14/08/2025,IMSC,Faculty     – 15 Posts,M.Phil/Ph.D,–,14-09-2025,Get Details
11/04/2025,IIT Madras,Assistant Professor,M.Phil/Ph.D,IITM/R/3/2025,31-12-2025,Get Details
10/09/2025,MIDHANI,Assistant Manager     – 23 Posts,B.Tech/B.E,MDN/HR/E/2/25,24-09-2025,Get Details
09/09/2025,MHSRB Telangana,"Civil Assistant Surgeon Specialists, Medical Officer Specialist     – 1623 Posts","DNB, MS/MD",04/2025,23-09-2025,Get Details
08/09/2025,MANUU,"Deputy Registrar, Assistant  and More     – 27 Posts","Any Bachelors Degree, B.Tech/B.E, Diploma, ITI, 10TH, Any Masters Degree",–,29-09-2025,Get Details
08/09/2025,HAL,Visiting Consultant     – 03 Posts,"Any Bachelors Degree, BDS, Diploma, Any Post Graduate",HAL-HYD/2025/03,26-09-2025,Get Details
05/09/2025,MANAGE,Consultant     – 01 Posts,"CA, ICWA, M.Com, MBA/PGDM",–,20-09-2025,Get Details
04/09/2025,IIT Hyderabad,"Accountant, Junior Accountant     – 02 Posts","B.Com, CA",IITH/2025/CS/29,23-09-2025,Get Details
03/09/2025,District Court Warangal,Special Judicial Second Class Magistrates     – 02 Posts,Other,–,19-09-2025,Get Details
02/09/2025,CHESS DRDO,Apprentice     – 25 Posts,"B.Tech/B.E, Diploma",CHESS/75/75500/APPR/Advt-3/2025,22-09-2025,Get Details
01/09/2025,CDFD,"Technical Officer, Junior Assistant and More     – 09 Posts","Any Graduate, B.Sc, B.Tech/B.E, 12TH, 10TH, M.Sc, PG Diploma",03/2025,30-09-2025,Get Details
01/09/2025,CITD Hyderabad,"Faculty, Instructor and More","Any Graduate, B.Tech/B.E, Diploma, ITI, M.A, M.Sc, M.E/M.Tech, MBA/PGDM",–,01-11-2025,Get Details
30/08/2025,ECIL,ITI Trade Apprentices     – 412 Posts,ITI,16/2025,22-09-2025,Get Details
28/08/2025,BEL,Trainee Engineer and Project Engineer     – 80 Posts,B.Tech/B.E,BEL/HYD/2025-26/04,12-09-2025,Get Details
20/08/2025,MIDHANI,Assistant     – 50 Posts,"B.Sc, Diploma",–,17-09-2025,Get Details
19/08/2025,BDL,General Manager     – 01 Posts,B.Tech/B.E,–,17-09-2025,Get Details
18/08/2025,CSIR IICT,"Junior Stenographer, Multi Tasking Staff     – 09 Posts","12TH, 10TH",03/2025,12-09-2025,Get Details
13/08/2025,District Court Narayanpet,"Court Assistant, Court Attendant     – 02 Posts",Other,–,15-09-2025,Get Details
03/09/2025,Tripura University,Guest Faculty     – 01 Posts,Other,–,10-09-2025,Get Details
29/08/2025,Tripura PSC,Medical Officer     – 6 Posts,Master of Dental Surgery,26/2025,10-10-2025,Get Details
13/08/2025,Tripura PSC,Personal Assistant     – 100 Posts,12TH,25/2025,23-09-2025,Get Details
04/08/2025,TPSC,Professor     – 18 Posts,"DNB, M.Ch, DM",24/2025,15-09-2025,Get Details
08/09/2025,BHU,"Project Research Scientist I, Research Assistant",Other,–,23-09-2025,Get Details
08/09/2025,AMU,Guest Teacher     – 01 Posts,"Any Bachelors Degree, Any Masters Degree",11/Poly/2025-2026,16-09-2025,Get Details
08/09/2025,BHU,Junior Research Assistant     – 01 Posts,"B.Sc, M.Sc, M.E/M.Tech",–,27-09-2025,Get Details
08/09/2025,AMU,Assistant Professor     – 01 Posts,"B.Tech/B.E, M.E/M.Tech",10/Poly/2025-2026,16-09-2025,Get Details
08/09/2025,AIIMS Raebareli,Senior Residents     – 137 Posts,Other,AIIMS/RBL/REC/SR/2025/300,12-09-2025,Get Details
05/09/2025,Rampur Raza Library,Multi Tasking Staff     – 01 Posts,10TH,–,05-10-2025,Get Details
04/09/2025,UPPSC,Assistant Professor     – 1253 Posts,"Any Masters Degree, M.Phil/Ph.D",A-7/E-1/2025,06-10-2025,Get Details
04/09/2025,IIT BHU,"Junior Research Fellow, Research Associate II     – 01 Posts","M.Sc, M.E/M.Tech",–,20-09-2025,Get Details
04/09/2025,RGIPT,Professor of Practice     – 01 Posts,M.Phil/Ph.D,RGIPT/Sivasagar Campus/FA/05/2025,21-09-2025,Get Details
03/09/2025,RGIPT,"Purchase Officer, Public Relations Officer and More     – 03 Posts","Any Graduate, B.Sc, B.Tech/B.E, LLB, Any Masters Degree, LLM, M.Sc, M.E/M.Tech",–,21-09-2025,Get Details
03/09/2025,TMC,Contract Nurse     – 30 Posts,"B.Sc, Diploma",OS/NSG/VAR/2025/10,19-09-2025,Get Details
03/09/2025,IIT Kanpur,Deputy Project Manager     – 01 Posts,"B.A, BCA, B.B.A, B.Com, LLB, CA, CS, ICWA, M.A, M.Com, M.Sc, MBA/PGDM, MCA",P.Rect./IP/DOAD/2025/56,22-09-2025,Get Details
03/09/2025,BHU,Junior Research Fellowship     – 01 Posts,M.Sc,–,21-09-2025,Get Details
02/09/2025,HURL,Apprentices     – 53 Posts,"B.Sc, Diploma",HURL/GKP/APP/25-26/01,30-09-2025,Get Details
01/09/2025,NSI,Young Professional,M.Sc,–,25-09-2025,Get Details
28/08/2025,BECIL,Sports Instructor     – 01 Posts,Any Bachelors Degree,521,11-09-2025,Get Details
25/08/2025,FDDI,"Junior Technologist, Technologist     – 07 Posts","Any Graduate, B.Tech/B.E, Any Post Graduate",–,22-09-2025,Get Details
25/08/2025,IIM Lucknow,Chief Administrative Officer     – 01 Posts,Any Post Graduate,IIML/Rectt-08C/2025,22-09-2025,Get Details
25/08/2025,IIM Lucknow,General Duty Medical Officer     – 03 Posts,MBBS,IIML/Rectt-09C/2025,12-09-2025,Get Details
23/08/2025,Troop Comforts,"Company Secretary, Graphic Designer     – 2 Posts","Diploma, B.Des",–,12-09-2025,Get Details
20/08/2025,IIIT Allahabad,Junior Research Fellow     – 01 Posts,"B.Tech/B.E, M.E/M.Tech",IIITA/RDS/NRB/JRF/2025/01,10-09-2025,Get Details
20/08/2025,DRDO ADRDE,Junior Research Fellow     – 05 Posts,"B.Tech/B.E, M.E/M.Tech",–,25-09-2025,Get Details
16/08/2025,NCHMCT,Stenographer Grade D     – 02 Posts,12TH,NCHM-01/2025,16-09-2025,Get Details
13/08/2025,UPPRPB,Sub Inspector     – 4543 Posts,Any Graduate,–,11-09-2025,Get Details
12/08/2025,UPPSC GIC,Lecturer     – 1516 Posts,"B.Ed, Any Post Graduate, M.A",A-6/E-1/2025,12-09-2025,Get Details
04/08/2025,AIIMS Raebareli,Senior Residents     – 140 Posts,"DNB, MS/MD, M.Ch, DM",AIIMS/RBL/REC/SR/2025/300,26-09-2025,Get Details
10/09/2025,THDC,Assistant Manager     – 40 Posts,"B.Sc, B.Tech/B.E",08/2025,10-10-2025,Get Details
09/09/2025,WII,"Project Scientist, Project Associate and More     – 42 Posts","B.Pharma, B.Sc, B.Tech/B.E, Diploma, BVSC, M.Sc, M.E/M.Tech, M.Phil/Ph.D, MS/MD",WII/ADVT. 2/RP–CELL,20-09-2025,Get Details
09/09/2025,Pithoragarh Forest Division,Junior Research Fellow     – 01 Posts,"Any Graduate, Any Post Graduate, M.Sc",–,19-09-2025,Get Details
08/09/2025,UJVNL,Diploma Apprenticeship     – 12 Posts,Diploma,–,24-09-2025,Get Details
05/09/2025,NIEPVD,"Speech Therapist, Trained Caregiver and More     – 05 Posts",Other,5-2/2025-0034,12-09-2025,Get Details
05/09/2025,AIIMS Rishikesh,"Project Research Scientist I, Project Technical Support II","BDS, MBBS, M.Sc, MVSC",–,15-09-2025,Get Details
05/09/2025,NIH,"Research Associate l, Consultant     – 02 Posts",M.Phil/Ph.D,Project/Advt.43/2025-NIH(Admn.),18-09-2025,Get Details
04/09/2025,IIT Roorkee,Project Scientist II     – 01 Posts,"M.Sc, M.Phil/Ph.D",–,18-09-2025,Get Details
04/09/2025,GBPUAT,Emergency Medical Officer     – 01 Posts,MBBS,–,20-09-2025,Get Details
03/09/2025,GBPUAT,Young Professional I     – 01 Posts,B.Sc,–,20-09-2025,Get Details
02/09/2025,Sainik School Ghorakhal,PGT     – 01 Posts,"B.Ed, Any Masters Degree, M.Sc",–,10-09-2025,Get Details
26/08/2025,AIIMS Rishikesh,"Project Research Scientist I, Project Technical Support II","BDS, MBBS, M.Sc, MVSC",–,15-09-2025,Get Details
25/08/2025,AIIMS Rishikesh,Junior Research Fellow     – 01 Posts,M.Sc,–,10-09-2025,Get Details
19/08/2025,WII,"Project Associate, Technical Assistant and More     – 53 Posts","B.Sc, M.Sc, M.Phil/Ph.D","WII/ADVT. 1/RP–CELL/ August, 2025",10-09-2025,Get Details
10/09/2025,WBSSC,Special Education Teacher,B.Ed,1207/7002/CSSC/ESTT/2025,24-09-2025,Get Details
09/09/2025,SMP Kolkata,Senior Deputy Chief Accounts Officer     – 01 Posts,Other,–,03-10-2025,Get Details
08/09/2025,IISER Kolkata,Lab Assistant     – 01 Posts,Any Graduate,DBT/P0468/2025,15-09-2025,Get Details
04/09/2025,IIT Kharagpur,Training Officer     – 01 Posts,M.E/M.Tech,IIT/SRIC/R/NIK/2025/109,17-09-2025,Get Details
04/09/2025,ISI Kolkata,Project Linked Person     – 01 Posts,"M.Sc, M.E/M.Tech, MCA",–,17-09-2025,Get Details
02/09/2025,ESIC,Principal Cum Professor     – 02 Posts,M.Sc,12 OF 2025,10-09-2025,Get Details
02/09/2025,ISI Kolkata,Project Associate I     – 02 Posts,"B.Tech/B.E, M.Sc",–,21-09-2025,Get Details
01/09/2025,CNCI Kolkata,Nuclear Medicine Technologist     – 01 Posts,B.Sc,N-017/2025,15-09-2025,Get Details
01/09/2025,SAIL,"GDMO, Specialists     – 06 Posts","MBBS, PG Diploma, MS/MD",–,20-09-2025,Get Details
30/08/2025,WBMSC,Sub Assistant Engineer     – 28 Posts,Diploma,08 of 2025,22-09-2025,Get Details
30/08/2025,WBMSC,Sub-Assistant Engineer     – 78 Posts,Diploma,06 of 2025,22-09-2025,Get Details
30/08/2025,WBSSC,Group C and D     – 8477 Posts,Any Graduate,–,31-10-2025,Get Details
30/08/2025,WBMSC,Sub Assistant Engineer     – 19 Posts,Diploma,7 of 2025,22-09-2025,Get Details
29/08/2025,Visva Bharati University,"Librarian, Deputy Registrar and More     – 05 Posts","M.Phil/Ph.D, M.Lib",05/2025,30-09-2025,Get Details
29/08/2025,Hindustan Copper,Graduate Engineer Trainee     – 27 Posts,B.Tech/B.E,Estt. /1/2026/2025-26,12-09-2025,Get Details
29/08/2025,Eastern Coalfields,Security Guard (Trainee)     – 175 Posts,7th,–,10-09-2025,Get Details
29/08/2025,SAIL,Proficiency Trainees     – 39 Posts,"Diploma, 12TH, GNM, ANM, DMLT",–,16-09-2025,Get Details
29/08/2025,EMRS Purulia,Teaching and Non Teaching Staff     – 14 Posts,"Any Graduate, B.Ed, 8TH, M.Sc",–,18-09-2025,Get Details
26/08/2025,AIIMS Kalyani,Tutor     – 01 Posts,MBBS,–,11-09-2025,Get Details
26/08/2025,SMP Kolkata,Radio Officer     – 1 Posts,Other,–,29-09-2025,Get Details
25/08/2025,SMP Kolkata,"Deputy Chief Engineer, Harbour Master     – 02 Posts",Other,–,19-09-2025,Get Details
19/08/2025,NIT Durgapur,Project Assistant     – 01 Posts,B.Tech/B.E,NITD/SRCC/DD/CHE/PA/2025/01,11-09-2025,Get Details
18/08/2025,WBPSC,Civil Judge     – 54 Posts,LLB,19/2023,21-09-2025,Get Details
18/08/2025,WBPSC,Civil Judge     – 54 Posts,LLB,9/2024,09-11-2025,Get Details
16/08/2025,WBMSC,Paribesh Bandhu     – 64 Posts,Other,05 of 2025,17-09-2025,Get Details
16/08/2025,WBMSC,Conservancy Mazdoor     – 675 Posts,Other,04 of 2025,17-09-2025,Get Details
14/08/2025,SMP Kolkata,Gas Mask Diver     – 01 Posts,Other,–,29-09-2025,Get Details
13/08/2025,SMP Kolkata,Senior Hydrographers     – 04 Posts,B.Sc,–,29-09-2025,Get Details
12/08/2025,SMPA,Lady Security     – 04 Posts,8TH,–,29-09-2025,Get Details
09/08/2025,ECL,Apprentice     – 1123 Posts,"Any Graduate, Diploma",–,11-09-2025,Get Details
